Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date
"Monaco (Segasa 1977)",Segasa,1977,"World Places, Sports, Happiness, Recreation, Water Skiing, Swimming, Aquatic",-,1614,-,EM,VPX,"Klodo81",1.3,2023-07-06
"Monday Night Football (Data East 1989)",Data East,1989,"Sports, American Football",4,1616,-,SS,VPX,"Bigus1, Goldchicco, AgentEighty6, Allknowing2012",1.0,2022-09-26
"Monday Night Football (Data East 1989)",Data East,1989,"Sports, American Football",4,1616,-,SS,VPX,"Goldchicco, AgentEighty6",1.1,2021-12-01
"Monday Night Football (Data East 1989)",Data East,1989,"Sports, American Football",4,1616,-,SS,VPX,"Morttis, Arconovum, Allknowing2012",1.1-1.0,2023-06-19
"Monday Night Football (Data East 1989)",Data East,1989,"Sports, American Football",4,1616,-,SS,VPX,"Allknowing2012",1.1,2016-02-28
"Monopoly (Stern 2001)",Stern,2001,"Board Games, Licensed Theme",4,4505,-,SS,VPX,"Tanawts, Bigus1, 32assassin",1.2,2023-06-26
"Monopoly (Stern 2001)",Stern,2001,"Board Games, Licensed Theme",4,4505,-,SS,VPX,"Bigus1, 32assassin, EBisLit",2.0,2023-09-16
"Monopoly (Stern 2001)",Stern,2001,"Board Games, Licensed Theme",4,4505,-,SS,VPX,"Morttis, Arconovum, 32assassin",1.0-1.0.1,2023-06-19
"Monopoly (Stern 2001)",Stern,2001,"Board Games, Licensed Theme",4,4505,-,SS,VPX,"32assassin",1.0,2020-09-10
"Monopoly (Stern 2001)",Stern,2001,"Board Games, Licensed Theme",4,4505,-,SS,VPX,"CKPin, JPSalas, PacDude",1.2,2017-05-19
"Monster Bash (Williams 1998)",Williams,1998,"Horror, Licensed Theme",4,4441,-,SS,VPX,"Bigus1, Tom Tower, UncleWilly, Randr, Ninuzzu",2.0,2023-11-20
"Monster Bash (Williams 1998)",Williams,1998,"Horror, Licensed Theme",4,4441,-,SS,FX,"Zen Studios, Peter Grafl",-,2022-04-02
"Monster Bash (Williams 1998)",Williams,1998,"Horror, Licensed Theme",4,4441,-,SS,VPX,"Balutito, Bigus1, Tom Tower, UncleWilly, Randr, Ninuzzu",1.2,2022-03-26
"Monster Bash (Williams 1998)",Williams,1998,"Horror, Licensed Theme",4,4441,-,SS,VPX,"VPin Workshop (VPW), Skitso, Fluffhead35, Flupper, Tomate, Tom Tower, UncleWilly, Randr, Zany, Leojreimroc, Iaakki, Sixtoe, Apophis, Ninuzzu, Bord, Rothbauerw",1.0,2022-02-10
"Monster Bash (Williams 1998)",Williams,1998,"Horror, Licensed Theme",4,4441,-,SS,VPX,"Arvid, Tom Tower, Ninuzzu",1.0.0,2021-12-06
"Monster Bash (Williams 1998)",Williams,1998,"Horror, Licensed Theme",4,4441,-,SS,VPX,"Skitso, Tomate, Cyberpez, Flupper1, Benji, Tom Tower, UncleWilly, Randr, Iaakki, Sixtoe, Ninuzzu, Bord, Rothbauerw",1.02,2023-06-19
"Monster Bash (Williams 1998)",Williams,1998,"Horror, Licensed Theme",4,4441,-,SS,VPX,"Hanibal",2.3,2019-03-23
"Monster Bash (Williams 1998)",Williams,1998,"Horror, Licensed Theme",4,4441,-,SS,VPX,"Ninuzzu, Tom Tower",1.3,2021-11-27
"Monster Bash (Williams 1998)",Williams,1998,"Horror, Licensed Theme",4,4441,-,SS,VPX,"Hanibal",2.0,2021-11-27
"Monster Bash (Williams 1998)",Williams,1998,"Horror, Licensed Theme",4,4441,-,SS,VPX,"Arconovum, Randr, Fren, Tom Tower, UncleWilly, ClarkKent, Ninuzzu, Arngrim, ICPjuggla",1.3-2.0,2023-06-19
"Monster Bash (Williams 1998)",Williams,1998,"Horror, Licensed Theme",4,4441,-,SS,VPX,"Randr, UncleWilly, Hanibal, Tom Tower, Ninuzzu, Arngrim, ClarkKent, ICPjuggla",1.3,2016-05-11
"Monster Bash (Williams 1998)",Williams,1998,"Horror, Licensed Theme",4,4441,-,SS,FX3,"Zen Studios",-,2000-01-01
"Monster Rancher Pinball (Original 2019)",Original,2019,"Monsters",4,-,-,SS,VPX,"Bigkahuna707, Krugger99, Flupper, nFozzy, 32assassin",1.0,2019-06-16
"Monsters (Dream Pinball 3D 2016)",Dream Pinball 3D,2016,"Monsters",-,-,-,SS,VPX,"TheGhost787",1.1,2016-12-27
"Monsters of Rock (Original 2021)",Original,2021,"Musc, Heavy Metal",-,-,-,-,VPX,"Team Tuga, JPSalas",3.0,2023-09-05
"Monte Carlo (Bally 1973)",Bally,1973,"Cards, Gambling",4,1621,-,EM,VPX,"Mustang1961, Albert, -=Kees=-, Leon Spalding",1.2,2022-06-13
"Monte Carlo (Bally 1973)",Bally,1973,"Cards, Gambling",4,1621,-,EM,VPX,"Albert, -=Kees=-, Leon Spalding",5.0,2020-03-07
"Monte Carlo (Bally 1973)",Bally,1973,"Cards, Gambling",4,1621,-,EM,VPX,"-=Kees=-, Leon Spalding",1.00,2018-06-02
"Monte Carlo (Gottlieb 1987)",Gottlieb,1987,"Gambling",4,1622,-,SS,VPX,"Rascal, Ahr1man, Destruk, Lander, XtremeMame, Roccodimarco, BorgDog, TAB",1.6,2023-01-26
"Monte Carlo (Gottlieb 1987)",Gottlieb,1987,"Gambling",4,1622,-,SS,VPX,"Rascal, Destruk, Lander, TAB, XtremeMame, Bigus1",1.0,2021-09-23
"Monty Python Tribute Edition (Original 2022)",Original,2022,"TV Show, Comedy",-,-,-,SS,VPX,"Icepinball, JPSalas, Ivantba",1.0.0,2022-07-23
"Moon Knight (Zen Studios 2013)",Zen Studios,2013,"Licensed Theme, Comics, Superheroes",4,-,-,-,FX,"Zen Studios, Imre Szigeti",-,2023-07-23
"Moon Knight (Zen Studios 2013)",Zen Studios,2013,"Licensed Theme, Comics, Superheroes",4,-,-,-,FX3,"Imre Szigeti",-,2000-01-01
"Moon Light (Inder 1987)",Inder,1987,"Outer Space, Fantasy",4,4416,-,SS,VPX,"Ext2k, Mfuegemann, Goldchicco, 32assassin",1.0.0,2023-11-29
"Moon Light (Inder 1987)",Inder,1987,"Outer Space, Fantasy",4,4416,-,SS,VPX,"Michel757, Goldchicco, 32assassin, Mfuegemann",1.0.0,2022-12-23
"Moon Light (Inder 1987)",Inder,1987,"Outer Space, Fantasy",4,4416,-,SS,VPX,"Goldchicco, 32assassin, Mfuegemann, Batch, Arngrim",1.2a,2020-12-12
"Moon Shot (Chicago Coin 1969)",Chicago Coin,1969,"Outer Space",-,1628,-,EM,VPX,"Friel01, Loserman76",1.1.0,2022-03-14
"Moon Station (Original 2021)",Original,2021,"Science Fiction",-,-,-,SS,VPX,"Chepas",1.0.2,2022-01-09
"Mortal Kombat (Original 2016)",Original,2016,"Video Game, Martial Arts",-,-,-,SS,VPX,"TheGhost787",1.0,2016-11-01
"Mortal Kombat II (Midway 1992)",Midway,1992,"Arcade, Video Game, Martial Arts",2,-,-,-,-,-,-,2023-06-03
"Mortal Kombat II Pinball Edition (Original 2016)",Original,2016,"Video Game, Martial Arts",-,-,-,SS,VPX,"Javier, JPSalas",1.0.1,2016-12-19
"Motley Crue (Original 2017)",Original,2017,"Music, Heavy Metal",-,-,-,SS,VPX,"Mofstedahl",1.0,2017-02-25
